"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"179","Confianza",5.46,1.11,66.93,"2010","Diciembre","2010-12-31"
"180","Financiera Efectiva",3.8,0,63.99,"2010","Diciembre","2010-12-31"
"181","Financiera Universal",2.19,0,452.5,"2010","Diciembre","2010-12-31"
"182","Financiera Uno",7.07,0,226.59,"2010","Diciembre","2010-12-31"
"183","America Financiera",0.98,1.2,81.31,"2010","Diciembre","2010-12-31"
"184","Mitsui.Auto.Finance",7.72,0,59.65,"2010","Diciembre","2010-12-31"
"185","Total Empresas Financieras",3.75,1.23,56.82,"2010","Diciembre","2010-12-31"
"186","CrediScotia",3.35,1.68,39.83,"2011","Enero","2011-01-31"
"187","TFC",5.9,1.91,48.14,"2011","Enero","2011-01-31"
"188","Edyficar",3.93,0.45,54.81,"2011","Enero","2011-01-31"
"189","Compartamos Financiera",4.51,0.16,42.74,"2011","Enero","2011-01-31"
"190","Confianza",5.59,1.06,62.1,"2011","Enero","2011-01-31"
"191","Financiera Efectiva",3.97,0,60.73,"2011","Enero","2011-01-31"
"192","Financiera Universal",2.69,0,198.65,"2011","Enero","2011-01-31"
"193","Financiera Uno",7.45,0.23,94.58,"2011","Enero","2011-01-31"
"194","America Financiera",1,1.2,72.48,"2011","Enero","2011-01-31"
"195","Mitsui.Auto.Finance",7.47,0,113.9,"2011","Enero","2011-01-31"
"196","Total Empresas Financieras",3.73,1.18,48.01,"2011","Enero","2011-01-31"
"197","CrediScotia",3.12,1.61,43.72,"2011","Febrero","2011-02-28"
"198","TFC",6.71,2.63,50.55,"2011","Febrero","2011-02-28"
"199","Edyficar",3.94,0.43,54.67,"2011","Febrero","2011-02-28"
"200","Compartamos Financiera",4.8,0.16,45.52,"2011","Febrero","2011-02-28"
"201","Confianza",5.61,1,67.39,"2011","Febrero","2011-02-28"
"202","Financiera Efectiva",3.73,0,67.24,"2011","Febrero","2011-02-28"
"203","Financiera Universal",3.08,0,199.67,"2011","Febrero","2011-02-28"
"204","Financiera Uno",4.19,0.39,96.92,"2011","Febrero","2011-02-28"
"205","America Financiera",1.1,1.18,76.79,"2011","Febrero","2011-02-28"
"206","Mitsui.Auto.Finance",6.97,0,100.2,"2011","Febrero","2011-02-28"
"207","Total Empresas Financieras",3.65,1.18,51.21,"2011","Febrero","2011-02-28"
"208","CrediScotia",3.22,1.51,45.88,"2011","Marzo","2011-03-31"
