"","variable","Periodo","mes","Adeudos / Pasivo Total (%)","Cartera de Alto Riesgo / Créditos Directos (%)","Créditos Atrasados / Créditos Directos (%)","Créditos Atrasados M.E. / Créditos Directos M.E. (%)","Créditos Atrasados M.N. / Créditos Directos M.N. (%)","Créditos Directos / Empleados (Miles S/.)","Créditos Directos / Número de Oficinas (Miles S/.)","Depósitos/ Créditos Directos (%)","Gastos de Administración Anualizados/ Créditos Directos e Indirectos Promedio (%)","Gastos de Operación Anualizados / Margen Financiero Total Anualizado(%)","Ingresos Financieros Anualizados / Activo Productivo Promedio (%)","Pasivo Total / Capital Social y Reservas ( Nº de veces )","Posición Global en M.E. / Patrimonio Efectivo ( %)","Provisiones / Créditos Atrasados (%)","Ratio de Capital Global","Ratio de Liquidez en M.E. (%) (promedio del mes)","Ratio de Liquidez en M.N. (%) (promedio del mes)","Utilidad Neta Anualizada sobre Activo Promedio (%)","Ratio de Capital Global"
"93","CMAC.Del.Santa","2014","Julio",0.92,21.52,17.33,34.22,16.76,643.59,12624.27,111.56,13.14,77.94,20.63,7.44,1.23,108.37,12.93,54.09,38.32,0.42,3.69
"94","CMAC.Huancayo","2014","Julio",8.44,4.61,3.89,2.84,3.93,993.4,20357.58,90.4,9.78,60.64,18.64,6.74,-0.24,155.76,16.06,82.3,42.99,2.7,19.39
"95","CMAC.Ica","2014","Julio",5.08,9.51,8.73,6.3,8.78,866.09,17743.24,108.07,9.92,63.42,18.43,8.35,-1.16,126.95,13.9,86.97,54.15,1.21,10.68
"96","CMAC.Maynas","2014","Julio",6.56,11.09,8.54,8.12,8.57,593.69,20383.21,106.41,10.96,68.83,19.66,6.57,-1.43,125.55,15.54,161.8,49.36,0.68,5.28
"97","CMAC.Paita","2014","Julio",0.1,15.21,10.8,3.43,10.85,588.64,13454.64,105.45,12.63,79.27,22.97,7.87,-3.28,134.31,14.35,93.11,28.27,-0.18,-1.46
"98","CMAC.Piura","2014","Julio",1.74,10.22,7.22,6.25,7.32,884.34,17800.37,114.03,10.97,65.55,18.5,8.45,-0.92,118.29,13.3,85.24,36.91,1.37,12.52
"99","CMAC.Sullana","2014","Julio",5.81,9.26,6.55,6.92,6.54,921.07,19290.67,98.77,10.01,58.43,20.41,7.44,0.41,132.84,13.02,105.62,27.04,1.4,10.99
"100","CMAC.Tacna","2014","Julio",7.73,9.56,8.37,4.96,8.93,985.98,23827.81,89.43,8.14,59.5,18.58,7.11,-0.01,112.61,14.94,48.86,24.57,0.77,5.78
"101","CMAC Trujillo","2014","Julio",4.93,9.34,7.12,9.1,7.07,857.58,21439.42,107.98,11.01,63.45,17.84,5.04,0.36,143.95,17.53,76.91,47.77,1.38,8.22
"102","Total.CMAC","2014","Julio",4.54,8.69,6.86,5.62,6.95,917.12,20566.1,101.5,9.56,60.65,18.98,7.13,-0.45,132.69,14.7,70.03,34.9,1.71,13.04
"103","CMCP.Lima","2014","Julio",12.94,12.39,9.51,5.89,10.05,1011.32,12280.37,101.77,12.17,85.38,16.14,6.21,3.98,89.33,12.57,73.67,57.63,-0.68,-5.48
"104","Total.CM","2014","Julio",4.93,8.84,6.97,5.64,7.07,920.57,20022.35,101.51,9.68,61.65,18.84,7.08,-0.28,130.31,14.6,70.18,35.73,1.58,12.09
"105","(all)","2014","Julio",4.97,10.34,8.14,7.88,8.22,875.03,19037.15,102.36,10.28,65.45,19.07,7.12,-0.24,127.42,14.48,79.76,37.92,1.23,9.23
"106","CMAC.Arequipa","2014","Agosto",5.03,8.96,7.59,4.11,7.96,985.23,24588.97,100.64,8.42,55.32,19.92,8.76,-2.93,142.03,14.43,43.53,33.53,2.09,18.06
"107","CMAC.Cusco","2014","Agosto",0.57,5.97,4.79,7.03,4.63,1112.43,22704.44,96.8,7.38,56.25,17.34,5.81,0.12,135.56,14.8,63.04,21.92,2.7,16.19
"108","CMAC.Del.Santa","2014","Agosto",0.93,21.95,17.91,34.34,17.3,645.49,12512.53,110.51,13.15,77.53,20.74,7.32,1.21,107.66,13.18,54.21,37.42,0.47,4.15
"109","CMAC.Huancayo","2014","Agosto",8.47,4.66,3.92,2.88,3.95,998.81,20685.49,89.16,9.78,60.06,18.75,6.76,-0.18,158.27,16.06,80.92,41.84,2.7,19.36
"110","CMAC.Ica","2014","Agosto",5.18,9,8.23,4.61,8.31,876.88,17940.57,105.35,10.02,63.81,18.4,8.27,-1.47,129.67,14.56,78.99,50.99,1.32,11.48
"111","CMAC.Maynas","2014","Agosto",6.65,11.22,8.42,8.06,8.45,614.76,20737.91,102.71,11.06,69.78,19.54,6.47,0.84,127.38,15.73,148.41,47.6,0.7,5.39
"112","CMAC.Paita","2014","Agosto",0.57,15.32,11.1,3.53,11.15,604.87,13523.19,103.96,12.87,80.27,23.17,7.84,-3.51,131.46,14.36,89.37,27.09,-0.19,-1.46
"113","CMAC.Piura","2014","Agosto",1.72,10.32,7.43,6.54,7.52,880.2,17707.97,114.53,10.92,65.01,18.49,8.51,-1.33,117.81,13.35,82.26,37.73,1.42,12.96
"114","CMAC.Sullana","2014","Agosto",6.29,8.26,5.7,7.39,5.64,926.2,19867.54,96.01,10.01,58.23,20.56,7.48,-0.19,140.27,12.79,104.32,26.07,1.55,12.08
"115","CMAC.Tacna","2014","Agosto",7.78,10.06,8.83,5.41,9.4,980.14,23719.37,90.07,8.05,58.54,18.67,7.15,0.42,113.13,14.87,52.6,27.06,0.76,5.65
"116","CMAC Trujillo","2014","Agosto",4.95,9.61,7.42,8.71,7.39,846.21,21515.81,107.12,10.97,62.7,17.97,5.03,-0.2,143.32,17.71,78.87,46.81,1.48,8.75
"117","Total.CMAC","2014","Agosto",4.58,8.73,6.91,5.77,7,922.97,20739.8,101.11,9.53,60.4,19.01,7.19,-0.96,133.72,14.72,68.46,35.18,1.75,13.32
"118","CMCP.Lima","2014","Agosto",13.71,12.64,9.77,6.57,10.26,1015.04,12228.82,96.7,12.43,85.61,16.36,5.93,4.52,87.71,12.34,57.01,49.2,-0.68,-5.5
"119","Total.CM","2014","Agosto",4.97,8.88,7.03,5.84,7.12,926.3,20182.14,100.93,9.66,61.41,18.89,7.12,-0.74,131.18,14.61,67.95,35.65,1.62,12.38
"120","(all)","2014","Agosto",5.1,10.4,8.22,7.91,8.29,881.11,19189.61,101.11,10.3,65.35,19.13,7.12,-0.31,128.51,14.54,76.42,37.01,1.26,9.49
"121","CMAC.Arequipa","2014","Septiembre",5.37,8.76,7.22,3.99,7.56,984.74,24072.37,100.22,8.39,55.01,19.9,8.64,12.64,148.09,14.43,71.98,31.23,2.07,17.84
"122","CMAC.Cusco","2014","Septiembre",0.64,6.28,4.97,7.83,4.77,1110.86,22234.74,95.93,7.32,56.49,17.36,5.79,-0.15,131.27,14.8,68.2,21.98,2.76,16.57
"123","CMAC.Del.Santa","2014","Septiembre",0.84,21.85,17.96,29.09,17.58,635.81,12520.56,110.94,13.3,77.45,20.94,7.36,0.75,107.72,13.18,49.49,40.36,0.62,5.4
