"","variables","R. Cr�dito","R. Mercado","R. Operacional","Total","Patrimonio Efectivo","R. Capital Global","Periodo","Mes","Fecha"
"213"," TOTAL BANCA MÚLTIPLE",8900279.64,368136.4,412271.88,9680687.92,13990615.37,13.7295,"2009","Noviembre",2009-11-30
"64","B. Continental",1824707.1,68524.21,73228.18,1966459.49,2755161.65,13.31,"2009","Diciembre",2009-12-31
"74","B. de Comercio  ",101647.26,591.65,5299.24,107538.15,132982.04,11.75,"2009","Diciembre",2009-12-31
"84","B. de Crédito del Perú (con sucursales en el exterior)",3258459.46,187152.85,125675.84,3571288.15,5457124.78,14.52,"2009","Diciembre",2009-12-31
"94","B. Financiero",241615.36,6046.33,12803.06,260464.75,318959.04,11.63,"2009","Diciembre",2009-12-31
"104","B. Interamericano de Finanzas",254301.28,335.04,11156.38,265792.7,398280.95,14.24,"2009","Diciembre",2009-12-31
"114","Scotiabank Perú (con sucursales en el exterior)",1404144.86,41145.88,57420.24,1502710.98,1883445.03,11.91,"2009","Diciembre",2009-12-31
"124","Citibank",228782.84,24650.75,25145.81,278579.4,450849.9,15.37,"2009","Diciembre",2009-12-31
"134","Interbank",1069581.48,23291.54,37917.82,1130790.84,1374097,11.54,"2009","Diciembre",2009-12-31
"144","Mibanco",272443,930.91,30597.32,303971.23,405691.04,12.68,"2009","Diciembre",2009-12-31
"154","HSBC Bank Perú",191622.54,2978.82,2164.29,196765.65,262617.45,12.68,"2009","Diciembre",2009-12-31
"164","B. Falabella Perú ",102726.88,699.39,20854.05,124280.32,178735.11,13.66,"2009","Diciembre",2009-12-31
"174","B. Santander Perú",47241.48,1031.92,1043.58,49316.98,118050.9,22.74,"2009","Diciembre",2009-12-31
"184","B. Ripley",76812.32,742.05,2522.36,80076.73,155723.36,18.47,"2009","Diciembre",2009-12-31
"194","B. Azteca Perú",19538.08,167.92,10111.77,29817.77,43835.41,13.97,"2009","Diciembre",2009-12-31
"204","Deutsche Bank Perú",27288.55,6437.99,2249.87,35976.41,105622.78,27.89,"2009","Diciembre",2009-12-31
"214"," TOTAL BANCA MÚLTIPLE",9120912.49,364727.25,418189.81,9903829.55,14041176.44,13.4686,"2009","Diciembre",2009-12-31
"130","B. Continental",1825619.66,65775.97,73352.42,1964748.05,2749127.9,13.29,"2010","Enero",2010-01-31
"210","B. de Comercio  ",102102.65,693.87,5359.54,108156.06,133674.78,11.74,"2010","Enero",2010-01-31
"310","B. de Crédito del Perú (con sucursales en el exterior)",3338487.42,198880.21,125942.22,3663309.85,5526377.14,14.33,"2010","Enero",2010-01-31
"410","B. Financiero",246439.48,8216.12,12965.64,267621.24,317253.46,11.26,"2010","Enero",2010-01-31
"510","B. Interamericano de Finanzas",254248.77,394.96,11292.99,265936.72,416674.75,14.88,"2010","Enero",2010-01-31
"614","Scotiabank Perú (con sucursales en el exterior)",1393101.44,36702.47,57925.61,1487729.52,1869901.06,11.94,"2010","Enero",2010-01-31
"714","Citibank",222260.99,39636.87,25076.8,286974.66,493550.55,16.34,"2010","Enero",2010-01-31
"814","Interbank",1051072.34,19410.62,38497.83,1108980.79,1368785.07,11.73,"2010","Enero",2010-01-31
"914","Mibanco",272773.55,1381.21,31430.19,305584.95,404644.62,12.58,"2010","Enero",2010-01-31
"1014","HSBC Bank Perú",197639.26,2468.87,2269.69,202377.82,256096.8,12.02,"2010","Enero",2010-01-31
"1114","B. Falabella Perú ",101725.15,334.59,21164.28,123224.02,178558.85,13.77,"2010","Enero",2010-01-31
"1213","B. Santander Perú",47052.51,2246.48,1138.56,50437.55,117619.3,22.15,"2010","Enero",2010-01-31
"135","B. Ripley",73535.55,422.65,2509.33,76467.53,155291.73,19.29,"2010","Enero",2010-01-31
"145","B. Azteca Perú",19441.02,62.4,8549.65,28053.07,46791.4,15.85,"2010","Enero",2010-01-31
"155","Deutsche Bank Perú",18383,11958.12,2132.28,32473.4,105622.78,30.9,"2010","Enero",2010-01-31
